State,County,Violent crime,Murder and nonnegligent manslaughter,Rape(reviseddefinition)1,Rape(legacy definition)2,Robbery,Aggravatedassault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson3,
ALABAMA - Metropolitan Counties,Autauga,69,0,13,,6,50,344,111,187,46,,
ALABAMA - Metropolitan Counties,Baldwin,115,0,9,,33,73,648,225,390,33,,
ALABAMA - Metropolitan Counties,Bibb,7,0,2,,1,4,41,20,18,3,,
ALABAMA - Metropolitan Counties,Blount,204,5,16,,5,178,832,247,503,82,,
ALABAMA - Metropolitan Counties,Calhoun,16,0,4,,1,11,413,181,225,7,,
ALABAMA - Metropolitan Counties,Chilton,120,0,23,,1,96,575,263,274,38,,
ALABAMA - Metropolitan Counties,Elmore,93,5,17,,5,66,1141,495,574,72,,
ALABAMA - Metropolitan Counties,Etowah,113,1,23,,2,87,561,214,298,49,,
ALABAMA - Metropolitan Counties,Geneva,41,0,9,,0,32,229,91,113,25,,
ALABAMA - Metropolitan Counties,Henry,36,0,8,,3,25,162,78,64,20,,
ALABAMA - Metropolitan Counties,Houston,97,3,16,,5,73,609,191,387,31,,
ALABAMA - Metropolitan Counties,Jefferson,787,10,91,,202,484,3436,1903,1392,141,,
ALABAMA - Metropolitan Counties,Lawrence,46,1,5,,0,40,336,123,185,28,,
ALABAMA - Metropolitan Counties,Limestone,50,2,8,,3,37,567,159,384,24,,
ALABAMA - Metropolitan Counties,Lowndes,44,0,10,,11,23,187,56,109,22,,
ALABAMA - Metropolitan Counties,Madison,366,7,52,,46,261,2052,633,1252,167,,
ALABAMA - Metropolitan Counties,Mobile,114,4,26,,21,63,1924,607,1124,193,,
ALABAMA - Metropolitan Counties,Montgomery,19,0,2,,6,11,188,61,108,19,,
ALABAMA - Metropolitan Counties,Morgan,42,0,10,,2,30,381,195,165,21,,
ALABAMA - Metropolitan Counties,Pickens,11,0,5,,0,6,33,16,17,0,,
ALABAMA - Metropolitan Counties,Russell,45,0,10,,4,31,395,134,233,28,,
ALABAMA - Metropolitan Counties,Shelby,131,3,40,,15,73,1140,296,754,90,,
ALABAMA - Metropolitan Counties,Tuscaloosa,182,2,9,,18,153,1073,307,664,102,,
ALABAMA - Metropolitan Counties,Walker,127,1,23,,9,94,1114,382,604,128,,
ALABAMA - Nonmetropolitan Counties,Barbour,32,2,4,,0,26,115,59,45,11,,
ALABAMA - Nonmetropolitan Counties,Bullock,21,0,0,,8,13,52,34,17,1,,
ALABAMA - Nonmetropolitan Counties,Butler,41,1,2,,1,37,166,65,90,11,,
